flag,n,nurse_pct,hiv_pct,prep_pct
Elevated Phithos risk score,218,81.65137614678899,88.9908256880734,24.770642201834864
Possible positive HIV test,94,74.46808510638297,82.97872340425532,12.76595744680851
Interest in HIV self-testing,820,74.02439024390245,61.829268292682926,14.75609756097561
Interest in PrEP or PEP,626,72.52396166134186,77.95527156549521,34.98402555910543
Concerning conversation content,383,68.66840731070496,62.14099216710183,18.27676240208877
Routine nurse follow-up,3080,59.480519480519476,58.66883116883117,21.16883116883117
Negative HIV test disclosed,1690,57.15976331360947,81.06508875739645,26.982248520710062
Patient-initiated nurse request,2432,56.661184210526315,47.77960526315789,19.983552631578945
