group,n,hiv_n,hiv_pct,prep_n,prep_pct
Two-way nurse conversation,2456,1613,65.67589576547232,580,23.615635179153095
"HCW task generated, no patient response",2006,809,40.32901296111665,220,10.967098703888336
No healthcare worker contact,4848,858,17.698019801980198,340,7.013201320132014
